1,シナールＤＧグロス,,21,Ｔ,73
2,北越アートポスト,,23,Ｙ,125
3,ペルーラ,スノーホワイト,21,Ｙ,180
4,レザック６６,アボガド,21,Ｙ,175
5,ミラーコートゴールド,,23,Ｙ,93.5
6,ｎｐｉ上質,,20,Ｙ,86.5
7,Ｖマット,,21,Ｔ,110
8,ＯＫミューズキララ,ホワイト,21,Ｙ,90
9,紀州,リンドウ,20,Ｔ,42
10,紀州,オレンジ,20,Ｔ,42
11,紀州,キ,20,Ｔ,42
12,紀州,シロ,20,Ｙ,42
13,紀州,ビワ,20,Ｔ,68.5
14,特菱両アートＮ,,23,Ｙ,62.5
15,シナールＤＧグロス,,23,Ｙ,93.5
16,ｎｐｉ上質,,20,Ｙ,44.5
17,ロッキー,,21,Ｔ,55
18,シナールＤＧグロス,,21,Ｔ,110
19,北越アートポスト,,23,Ｙ,139
20,琥珀,,20,Ｙ,57.5
21,Ｖマット,,20,Ｙ,57.5
22,シナールＤＧグロス,,20,Ｙ,57.5
23,ＲＶマット,,20,Ｙ,44.5
24,ボンアイボリー,,23,Ｙ,18.5
25,紀州,ヤマブキ,20,Ｔ,68.5
26,琥珀,,20,Ｙ,36.5
27,紀州,サーモン,21,Ｔ,66
28,ボンアイボリー,,21,Ｔ,26.5
29,タント,Ｓ－２,21,Ｙ,100
30,ユトリロマットグリーン７０,,20,Ｙ,44.5
31,琥珀,,20,Ｔ,57.5
32,ユポタック,,35,Ｙ,110
33,パールコートＰ,,23,Ｙ,62.5
34,レザック６６,コソメ,21,Ｙ,215
35,レザック６６,ベージュ,21,Ｙ,175
36,レザック６６,クリーム,21,Ｙ,175
37,レザック６６,スカイ,21,Ｙ,175
38,レザック６６,マリン,21,Ｙ,175
39,ｎｐｉ上質,,21,Ｔ,55
40,ユトリロコートグリーン７０,,23,Ｙ,93.5
41,ユトリロ上質グリーン７０,,20,Ｙ,44.5
42,紀州,シラチャ,21,Ｔ,107
43,紀州,モモ,20,Ｔ,68.5
44,紀州,ワカクサ,21,Ｔ,107
45,シナールＤＧグロス,,20,Ｙ,46.5
46,ｎｐｉ上質,,21,Ｔ,70
47,ユトリロ上質,,25,Ｙ,26.5
48,モダンクラフト,,23,Ｙ,137.5
49,五感紙荒目,黄色,21,Ｙ,110
50,タント,Ｏ－６１,21,Ｙ,100
51,琥珀,,20,Ｔ,46.5
52,シナールＤＧグロス,,21,Ｙ,135
53,ピズムマット,,23,Ｙ,125
54,シナールＤＧグロス,,23,Ｙ,76.5
55,シナールＤＧグロス,,20,Ｔ,57.5
56,Ｖマット,,20,Ｙ,70.5
57,北越アートポスト,,23,Ｙ,153
58,シナールＤＧグロス,,20,Ｙ,70.5
59,Ｖマット,,20,Ｙ,44.5
60,Ｖマット,,23,Ｔ,62.5
61,レザック６６,ユキ,21,Ｙ,215
62,ＮＴほそおり,ソラ,21,Ｙ,100
63,みやぎぬ,ツユクサ,21,Ｙ,200
64,レザック６６,アオネズ,21,Ｙ,175
65,ユトリロ上質グリーン７０,,21,Ｔ,70
66,紀州,ソラ,20,Ｔ,42
67,紀州,ソラ,20,Ｔ,84.5
68,レザック６６,ウスムラサキ,21,Ｙ,175
69,レザック６６,アカ,21,Ｙ,175
70,北越アートポスト,,23,Ｔ,125
71,ボンアイボリー,,21,Ｙ,18
72,Ｖマット,,20,Ｙ,86.5
73,シナールＤＧグロス,,23,Ｔ,62.5
74,パールコートＰ,,21,Ｙ,135
75,マットポスト,,23,Ｙ,125
76,ｎｐｉ上質,,23,Ｙ,125
77,クラークケント,,21,Ｔ,180
78,雷鳥上質,,20,Ｙ,44.5
79,Ｖマット,,21,Ｔ,135
80,Ｖマット,,23,Ｙ,93.5
81,レザック８０つむぎ,くち葉,21,Ｙ,210
82,里紙,キナリ,21,Ｙ,100
83,ＯＫフェザーワルツ,ラクダ,21,Ｙ,90
84,琥珀,,21,Ｙ,72.5
85,ハンマートーンＧＡ,スノーホワイト,21,Ｙ,130
86,琥珀,,20,Ｙ,46.5
87,ＯＫミューズコットン,サケ,21,Ｙ,118
88,ｎｐｉ上質,,21,Ｔ,180
89,雷鳥上質,,22,Ｔ,67.5
90,ｎｐｉ上質,,21,Ｔ,135
91,紀州,濃クリーム,20,Ｔ,68.5
92,紀州,濃クリーム,20,Ｔ,42
93,ｎｐｉ上質,,20,Ｔ,44.5
94,北越アートポスト,,23,Ｔ,139
95,Ｖマット,,20,Ｔ,44.5
96,シャトン,,20,Ｙ,35
97,シャトン,,21,Ｔ,70
98,ボンアイボリー,,23,Ｙ,14
99,ｎｐｉ上質,,20,Ｙ,35
100,紀州,ウグイス,20,Ｔ,68.5
101,紀州,ミズ,20,Ｔ,68.5
102,紀州,コスモス,20,Ｔ,68.5
103,レザック６６,サクラ,21,Ｙ,175
104,紀州,ウグイス,20,Ｔ,42
105,紀州,オレンジ,20,Ｔ,68.5
106,インペリアルマット,,21,Ｔ,180
107,ありそ,,22,Ｔ,60
108,ＯＫミューズリンター,スノーホワイト,21,Ｙ,120
109,プリンス上質,,21,Ｔ,70
110,プリンス上質,,21,Ｔ,55
111,紀州,ソラ,20,Ｔ,68.5
112,紀州,ワカクサ,21,Ｔ,176
113,オーロラコート,,21,Ｔ,180
114,Ｖマット,,21,Ｔ,70
115,雷鳥上質,,22,Ｔ,53
116,ｎｐｉ上質,,20,Ｙ,70.5
117,マットポスト,,23,Ｙ,153
118,ボンアイボリー,,23,Ｙ,15.5
119,ＯＫミューズリンター,ブライトＣ,21,Ｙ,170
120,オーロラコート,,23,Ｔ,125
121,日本製紙,オレンジ,20,Ｔ,42
122,トップコート,,23,Ｙ,76.5
123,ＯＫアートポスト,,23,Ｔ,125
124,オーロラコート,,23,Ｙ,125
125,ユトリログロスマット,,20,Ｙ,57.5
126,銀竹クラフト,,24,Ｔ,90
127,レザック６６,ピンク,21,Ｙ,175
128,紀州,ギンネズ,20,Ｔ,50
129,紀州,ミズ,21,Ｔ,78
130,ｎｐｉ上質,,21,Ｔ,90
131,紀州,リンドウ,20,Ｔ,68.5
132,紀州,レモン,20,Ｔ,42
133,紀州,サクラ,20,Ｔ,50
134,Ｖマット,,23,Ｙ,76.5
135,ユトリロ上質,,22,Ｔ,53
136,スーパーユポＦＲＢＷ,,21,Ｔ,200
137,Ａカード,ソラ,21,Ｔ,180
