218,250
1540,125
1541,150
1542,175
997,250
1543,1800
1544,125
216,50
221,150
476,250
225,75
1545,150
432,150
751,50
387,1125
45,2200
58,950
18,125
138,50
15,1250
370,600
54,120
725,75
462,900
421,500
143,250
687,875
414,500
388,250
139,25
74,50
177,100
1290,40
1546,400
184,675
23,23800
59,
21,
56,
72,575
229,750
114,450
79,175
1490,90
1181,125
550,1350
60,75
1077,2500
1422,1000
230,
231,
134,450
588,525
541,50
767,150
766,200
96,550
208,250
232,250
233,275
1547,100
1548,245
1549,250
780,200
782,250
412,500
653,50
237,1375
1550,90
1551,500
1552,490
1553,2000
239,135
238,28
30,250
125,350
201,400
374,250
1325,250
241,360
743,1150
99,12300
1554,50
145,700
116,50
6,375
247,500
90,35
88,
39,900
46,1350
147,260
130,525
39,1350
551,100
76,10
242,625
623,250
198,25
1555,
1067,250
110,400
109,550
913,100
576,250
778,80
939,900
422,120
250,874
252,1000
41,1490
705,9830
696,170
78,1875
461,200
154,50
257,95
258,225
437,
365,
1050,35
699,200
697,149
698,45
174,25
98,100
118,70
594,8
1061,50
1270,100
254,22
783,25
460,70
28,310
255,125
75,125
117,125
1024,125
795,22
562,
665,3000
1556,1000
418,1250
744,4500
400,4200
1458,1700
1331,550
1510,945
415,1150
1557,750
741,500
1558,1500
1559,500
263,250
264,525
1189,1000
936,720
265,675
1123,1000
266,550
167,575
1125,500
610,1100
832,525
269,1050
268,775
51,1000
86,240
1560,500
26,500
20,650
31,240
84,250
485,750
644,675
270,200
1561,500
1562,1000
17,540
1563,40
1564,100
1471,15
1313,65
727,15
726,10
728,12
675,145
1117,1
871,5
857,10
729,5
1565,5
1566,169
1567,244
1501,54
1048,160
1568,16
1569,25
1570,16
1571,7
108,108
1572,29
1573,190
1574,50
1575,40
1576,25
1577,44
1578,100
1579,200
1580,100
1581,100
524,60
947,50
1582,60
1583,6
1389,10
273,235
1584,25
1585,6
1586,35
1587,330
372,55
275,30
1588,95
703,35
278,53
279,85
655,9
878,93
1425,111
1589,13
746,6
1027,80
492,50
607,25
570,7
186,75
942,75
802,100
1590,122
425,37
806,100
1591,92
805,65
747,127
397,32
287,125
455,373
937,5
1592,50
748,40
1593,50
467,30
290,277
1594,45
1595,68
1596,30
289,650
493,2
1597,94
288,13
446,60
452,100
1598,60
1049,210
752,1460
559,16
896,1
625,25
761,40
866,
693,20
1599,100
1600,100
666,40
1601,50
1602,30
1603,200
1604,25
915,40
1468,92
586,150
935,2
1605,250
686,27
459,1
564,56
1372,4
1145,100
379,110
722,50
1102,155
771,4000
1606,38
291,18
772,80
1079,375
1354,125
1446,175
285,75
1498,45
293,35
454,67
295,35
294,8
1118,25
1411,20
297,45
299,
53,
1607,440
1608,300
1609,19
534,17
3,5
1610,17
300,75
1052,10
144,27
301,30
304,6
1611,100
786,23
1612,13
305,125
1292,11
307,425
791,70
1613,35
306,175
1614,14
979,86
978,52
577,30
545,10
898,215
1615,25
1616,125
1617,65
1618,350
1091,75
1099,62
1619,425
640,35
35,100
175,50
384,7
308,10
203,5
798,45
398,30
309,88
1374,11
692,25
797,20
860,10
796,15
1243,15
1374,10
398,30
801,34
800,20
823,250
479,125
484,170
126,750
826,220
1620,75
327,33
575,34
325,52
1427,75
619,3
368,80
313,450
311,500
618,175
312,250
1321,125
1344,125
1221,25
1193,40
851,15
1621,70
833,160
834,1000
314,500
315,230
1622,100
1623,425
318,650
317,240
320,400
1268,500
1624,500
1625,210
1626,75
1627,225
1628,175
1155,35
283,44
284,7
282,85
1488,25
280,230
1629,40
149,30
1630,11
334,14
332,250
1300,19
335,250
1381,7
104,25
1424,30
337,65
100,5
142,23
1631,20
1455,60
1176,15
1158,5
182,8
341,8
10,60
473,15
1080,25
11,40
1140,60
1227,19
503,35
1041,26
428,8
199,90
549,15
160,15
344,8
423,30
1632,14
345,45
1633,50
102,30
528,10
1634,15
27,86
348,84
816,17
603,50
817,220
42,15
66,45
1087,29
111,8
661,34
1635,15
1026,14
157,190
502,148
709,25
129,1750
458,30
506,15
1042,10
819,250
207,5
207,29
1636,50
171,11
43,165
352,8
439,5
1241,7
25,4
822,50
510,81
1503,12
1294,35
131,32
9,30
141,25
132,10
204,50
1319,5
948,148
647,200
206,70
168,58
44,4
112,15
435,9
438,30
1637,22
92,30
356,40
874,146
466,30
713,20
488,4
724,13
213,5
491,19
163,15
837,25
360,5
362,50
830,125
1638,10
1639,248
1640,15
1641,5
